time,value
2024-07-28T01:05:28.164118009Z,24
2024-07-28T01:05:28.973096872Z,73
2024-07-28T01:05:29.492446038Z,24
2024-07-28T01:05:32.180249582Z,74
2024-07-28T01:05:32.66339171Z,24
2024-07-28T01:05:32.66463294Z,27
2024-07-28T01:05:32.665719398Z,25
2024-07-28T01:05:33.684168605Z,71
2024-07-28T01:05:34.093718813Z,24
2024-07-28T01:05:36.681814258Z,74
2024-07-28T01:05:36.972810973Z,79
2024-07-28T01:05:36.974324489Z,71
2024-07-28T01:05:37.267878932Z,28
2024-07-28T01:05:40.034148733Z,25
2024-07-28T01:05:40.03575986Z,72
2024-07-28T01:05:40.03754066Z,71
2024-07-28T01:05:40.039287169Z,26
2024-07-28T01:05:40.852419861Z,72
2024-07-28T01:05:41.366658426Z,27
2024-07-28T01:05:42.289196117Z,85
2024-07-28T01:05:42.71030059Z,97
2024-07-28T01:05:43.923671863Z,26
2024-07-28T01:05:44.231422639Z,25
2024-07-28T01:05:44.94823889Z,24
2024-07-28T01:05:45.358150086Z,25
2024-07-28T01:05:46.382434422Z,24
2024-07-28T01:05:47.406418668Z,75
2024-07-28T01:05:47.719425798Z,26
2024-07-28T01:05:50.479101661Z,24
2024-07-28T01:05:50.48078521Z,73
2024-07-28T01:05:50.482048248Z,26
2024-07-28T01:05:50.903890881Z,23
2024-07-28T01:05:53.18336239Z,24
2024-07-28T01:05:53.55483087Z,70
2024-07-28T01:05:53.556559485Z,49
2024-07-28T01:05:53.558041356Z,72
2024-07-28T01:05:54.166908825Z,23
2024-07-28T01:05:55.189012434Z,69
2024-07-28T01:05:55.810247664Z,24
2024-07-28T01:05:56.622983039Z,23
2024-07-28T01:06:04.194380564Z,24
2024-07-28T01:06:04.616004095Z,74
2024-07-28T01:06:04.61782507Z,25
2024-07-28T01:06:04.619641065Z,73
2024-07-28T01:06:04.621949085Z,22
2024-07-28T01:06:04.623479733Z,70
2024-07-28T01:06:04.625079751Z,23
2024-07-28T01:06:04.626941804Z,70
2024-07-28T01:06:04.62861531Z,22
2024-07-28T01:06:04.630063916Z,19
2024-07-28T01:06:04.631462781Z,18
2024-07-28T01:06:05.736305457Z,22
2024-07-28T01:06:06.866544258Z,19
2024-07-28T01:06:07.784730026Z,22
2024-07-28T01:06:08.707723313Z,21
2024-07-28T01:06:09.115629587Z,22
2024-07-28T01:06:09.934775313Z,20
2024-07-28T01:06:10.958706719Z,22
2024-07-28T01:06:11.981306377Z,20
2024-07-28T01:06:14.187130283Z,47
2024-07-28T01:06:14.645263315Z,54
2024-07-28T01:06:14.649076436Z,32
2024-07-28T01:06:15.053585017Z,83
2024-07-28T01:06:15.571890864Z,98
2024-07-28T01:06:16.701041186Z,108
2024-07-28T01:06:17.10462774Z,88
2024-07-28T01:06:18.025592405Z,90
2024-07-28T01:06:18.339457401Z,92
2024-07-28T01:06:19.354277596Z,100
2024-07-28T01:06:19.771205515Z,97
2024-07-28T01:06:21.096686387Z,99
2024-07-28T01:06:23.554294637Z,69
2024-07-28T01:06:23.555904119Z,108
2024-07-28T01:06:23.557384152Z,121
2024-07-28T01:06:23.860569353Z,118
2024-07-28T01:06:26.525163957Z,131
2024-07-28T01:06:26.526871544Z,118
2024-07-28T01:06:26.528498074Z,126
2024-07-28T01:06:26.530181966Z,127
2024-07-28T01:06:27.546752909Z,121
2024-07-28T01:06:27.956449486Z,127
2024-07-28T01:06:28.979639526Z,118
2024-07-28T01:06:29.708803071Z,129
2024-07-28T01:06:30.006207831Z,118
2024-07-28T01:06:31.240456262Z,130
2024-07-28T01:06:32.154444389Z,118
2024-07-28T01:06:32.769532365Z,117
2024-07-28T01:06:33.179874982Z,132
2024-07-28T01:06:33.695457257Z,130
2024-07-28T01:06:36.679988977Z,122
2024-07-28T01:06:37.081179702Z,121
2024-07-28T01:06:37.08251385Z,130
2024-07-28T01:06:37.083895292Z,119
2024-07-28T01:06:37.377942344Z,127
2024-07-28T01:06:38.196744604Z,136
2024-07-28T01:06:38.608779415Z,128
2024-07-28T01:06:39.73110869Z,127
2024-07-28T01:06:40.039044717Z,128
2024-07-28T01:06:41.062877179Z,118
2024-07-28T01:06:41.48198666Z,127
2024-07-28T01:06:42.803851159Z,117
2024-07-28T01:06:42.805492957Z,132
2024-07-28T01:06:43.832247959Z,130
2024-07-28T01:06:44.4459663Z,119
2024-07-28T01:06:47.002322782Z,118
2024-07-28T01:06:47.004148639Z,117
2024-07-28T01:06:47.005529661Z,128
2024-07-28T01:06:47.411081527Z,117
2024-07-28T01:06:48.230984227Z,130
2024-07-28T01:06:48.65844223Z,117
2024-07-28T01:06:49.69151031Z,130
2024-07-28T01:06:50.586250681Z,117
2024-07-28T01:06:51.006379582Z,123
2024-07-28T01:06:51.411416704Z,122
2024-07-28T01:06:52.135433443Z,121
